rating_bin_1pt,count,mean_rating,mean_word_entropy,mean_gzip_ratio,mean_bz2_ratio,mean_lzma_ratio
0-1,0,,,,,
1-2,0,,,,,
2-3,1,2.7,8.204395,0.346873,0.297268,0.323641
3-4,14,3.4857142857142853,8.403880428571428,0.3063914285714286,0.2399277142857143,0.23107692857142856
4-5,56,4.566071428571428,8.402178035714286,0.28691189285714286,0.20588455357142857,0.18208219642857143
5-6,249,5.552610441767068,8.327990767068272,0.3059020843373494,0.22849047389558233,0.2174261686746988
6-7,503,6.44493041749503,8.37843507753479,0.3129536421471173,0.22203567793240558,0.2067015805168986
7-8,427,7.3505854800936765,8.394590728337237,0.31417644730679156,0.22381848711943794,0.20915300702576112
8-9,54,8.14074074074074,8.432380444444444,0.31903124074074074,0.22993292592592593,0.22051248148148148
9-10,0,,,,,
